block	count	size	element size	actual element size
shader_postprocess_overlay_reference_new_block	313	1252	4	4.000000
shader_postprocess_animated_parameter_new_block	58	136	2	2.344828
shader_postprocess_animated_parameter_reference_new_block	140	560	4	4.000000
shader_postprocess_bitmap_property_block	85	340	4	4.000000
shader_postprocess_color_property_block	8	96	12	12.000000
shader_postprocess_value_property_block	18	72	4	4.000000
shader_template_postprocess_level_of_detail_new_block	28	304	10	10.857142
shader_template_postprocess_pass_new_block	204	2112	18	10.352942
shader_template_postprocess_implementation_new_block	595	3628	6	6.097479
shader_template_postprocess_remapping_new_block	2772	11088	4	4.000000
shader_pass_postprocess_implementation_new_block	134	44304	350	330.626862
shader_pass_postprocess_texture_new_block	280	1120	4	4.000000
shader_pass_postprocess_texture_state_block	270	6480	24	24.000000
shader_pass_postprocess_extern_new_block	236	944	4	4.000000
pixel32_block	317	1268	4	4.000000
real_vector4d_block	596	9536	16	16.000000
shader_postprocess_definition_new_block	450	55800	184	124.000000
shader_template_postprocess_definition_new_block	150	6000	60	40.000000
shader_pass_postprocess_definition_new_block	183	16104	132	88.000000
g_default_variants_block	39	780	24	20.000000
text_value_pair_reference_block	280	3360	12	12.000000
text_value_pair_definition	92	3312	48	36.000000
text_value_pair_block	201	1608	16	8.000000
variant_setting_edit_reference_block	31	744	32	24.000000
default_variant_settings_block	500	4000	8	8.000000
multiplayer_variant_settings_interface_definition	1	368	472	368.000000
new_hud_definition	3	120	60	40.000000
hud_dashlights_block	9	252	52	28.000000
hud_waypoint_arrow_block	4	144	60	36.000000
hud_waypoint_block	8	192	40	24.000000
new_hud_sound_block	6	144	40	24.000000
hud_waypoint_arrow_block	15	1560	104	104.000000
hud_globals	1	1160	1364	1160.000000
single_animation_reference_block	132	2112	20	16.000000
user_interface_list_skin_definition	38	2280	88	60.000000
list_skin_reference_block	26	208	16	8.000000
window_pane_reference_block	178	13528	112	76.000000
local_string_id_list_string_reference_block	28	112	4	4.000000
local_string_id_list_section_reference_block	7	84	16	12.000000
local_bitmap_reference_block	20	160	16	8.000000
user_interface_screen_widget_definition	131	14672	140	112.000000
user_interface_widget_reference_block	133	1064	16	8.000000
persistent_background_animation_block	8	128	20	16.000000
ui_error_block	267	6408	24	24.000000
ui_error_category_block	9	360	52	40.000000
skill_to_rank_mapping_block	50	200	4	4.000000
user_interface_shared_globals_definition	1	452	652	452.000000
user_interface_globals_definition	1	32	60	32.000000
button_widget_reference_block	61	3660	68	60.000000
list_reference_block	94	2256	28	24.000000
text_block_reference_block	922	40568	44	44.000000
bitmap_block_reference_block	939	52584	64	56.000000
ui_object_reference_block	11	352	32	32.000000
ui_light_reference_block	13	416	32	32.000000
ui_model_scene_reference_block	16	1216	84	76.000000
hud_block_reference_block	11	396	52	36.000000
player_block_reference_block	16	384	32	24.000000
screen_animation_keyframe_reference_block	299	5980	20	20.000000
background_animation_keyframe_reference_block	24	480	20	20.000000
animation_reference_block	59	2596	56	44.000000
unit_hud_reference_block	4	32	16	8.000000
unit_camera_track_block	3	24	16	8.000000
unit_postures_block	5	80	16	16.000000
unit_weapon_block	2	16	16	8.000000
contact_point_block	6	24	4	4.000000
biped	3	2364	988	788.000000
object_function_block	9	288	36	32.000000
object_attachment_block	19	456	32	24.000000
object_widget_block	1	8	16	8.000000
object_change_color_initial_permutation	36	1152	32	32.000000
object_change_colors	12	192	24	16.000000
object_ai_properties_block	3	48	16	16.000000
scenery	6	1176	264	196.000000
magazine_objects	1	12	20	12.000000
magazines	2	184	128	92.000000
barrel_firing_effect_block	4	208	100	52.000000
weapon_barrels	3	708	256	236.000000
weapon_triggers	2	128	80	64.000000
weapon_first_person_interface_block	4	64	32	16.000000
weapon	3	2388	1128	796.000000
lighting_variables_block	2	288	160	144.000000
light	11	2508	272	228.000000
chocolate_mountain	1	8	12	8.000000
predicted_bitmaps_block	4	32	16	8.000000
equipment	1	316	436	316.000000
projectile_material_response_block	19	1672	112	88.000000
projectile	3	1260	604	420.000000
damage_effect_player_response_block	31	2356	88	76.000000
damage_effect	25	5000	212	200.000000
sound_references_block	1650	26400	24	16.000000
dialogue	5	120	36	24.000000
garbage	1	468	580	468.000000
classification	434	10416	44	24.000000
vertex_shader	83	2988	48	36.000000
aspect	3	84	36	28.000000
light_volume_runtime_offset_block	92	736	8	8.000000
volume	4	608	188	152.000000
light_volume	4	64	20	16.000000
reflection	9	432	48	48.000000
lens_flare	7	700	124	100.000000
convolution	1	92	92	92.000000
pass reference	3	516	192	172.000000
screen_effect	2	288	156	144.000000
cs_script_data_block	1	128	132	128.000000
