block	count	size	element size	actual element size
pixel32_block	2084	8336	4	4.000000
real_vector4d_block	4081	65296	16	16.000000
shader_postprocess_definition_new_block	3246	402504	184	124.000000
shader_template_postprocess_definition_new_block	342	13680	60	40.000000
shader_pass_postprocess_definition_new_block	366	32208	132	88.000000
global_water_definitions_block	3	516	188	172.000000
hud_widget_effect_block	9	936	124	104.000000
hud_bitmap_widgets	383	38300	120	100.000000
hud_text_widgets	61	5124	96	84.000000
hud_screen_effect_widgets	1	80	112	80.000000
new_hud_definition	48	1920	60	40.000000
hud_dashlights_block	9	252	52	28.000000
hud_waypoint_arrow_block	4	144	60	36.000000
hud_waypoint_block	8	192	40	24.000000
new_hud_sound_block	6	144	40	24.000000
hud_waypoint_arrow_block	15	1560	104	104.000000
hud_globals	1	1160	1364	1160.000000
single_animation_reference_block	129	2064	20	16.000000
user_interface_list_skin_definition	32	1920	88	60.000000
list_skin_reference_block	26	208	16	8.000000
window_pane_reference_block	81	6156	112	76.000000
local_string_id_list_string_reference_block	4	16	4	4.000000
local_string_id_list_section_reference_block	1	12	16	12.000000
user_interface_screen_widget_definition	68	7616	140	112.000000
user_interface_widget_reference_block	69	552	16	8.000000
persistent_background_animation_block	8	128	20	16.000000
ui_error_block	267	6408	24	24.000000
ui_error_category_block	9	360	52	40.000000
skill_to_rank_mapping_block	50	200	4	4.000000
user_interface_shared_globals_definition	1	452	652	452.000000
user_interface_globals_definition	1	32	60	32.000000
button_widget_reference_block	53	3180	68	60.000000
list_reference_block	28	672	28	24.000000
text_block_reference_block	525	23100	44	44.000000
bitmap_block_reference_block	369	20664	64	56.000000
ui_object_reference_block	1	32	32	32.000000
ui_light_reference_block	1	32	32	32.000000
ui_model_scene_reference_block	1	76	84	76.000000
hud_block_reference_block	5	180	52	36.000000
player_block_reference_block	8	192	32	24.000000
screen_animation_keyframe_reference_block	299	5980	20	20.000000
background_animation_keyframe_reference_block	24	480	20	20.000000
animation_reference_block	59	2596	56	44.000000
unit_hud_reference_block	64	512	16	8.000000
unit_camera_track_block	148	1184	16	8.000000
unit_postures_block	8	128	16	16.000000
unit_seat_block	230	40480	192	176.000000
unit_weapon_block	45	360	16	8.000000
powered_seat_block	31	248	8	8.000000
dialogue_variant_block	12	144	20	12.000000
contact_point_block	46	184	4	4.000000
biped	24	18912	988	788.000000
gear_block	29	1972	68	68.000000
vehicle	47	36096	984	768.000000
object_function_block	156	4992	36	32.000000
object_attachment_block	417	10008	32	24.000000
object_widget_block	16	128	16	8.000000
object_change_color_initial_permutation	252	8064	32	32.000000
object_change_color_function	3	120	40	40.000000
object_change_colors	89	1424	24	16.000000
object_ai_properties_block	68	1088	16	16.000000
scenery	62	12152	264	196.000000
crate	147	28224	260	192.000000
creature	2	768	480	384.000000
magazine_objects	17	204	20	12.000000
magazines	30	2760	128	92.000000
barrel_firing_effect_block	68	3536	100	52.000000
weapon_barrels	84	19824	256	236.000000
weapon_triggers	29	1856	80	64.000000
weapon_first_person_interface_block	82	1312	32	16.000000
weapon	78	62088	1128	796.000000
brightness animation	6	48	12	8.000000
color animation	2	16	12	8.000000
lighting_variables_block	2	288	160	144.000000
light	80	18240	272	228.000000
chocolate_mountain	1	8	12	8.000000
predicted_bitmaps_block	46	368	16	8.000000
equipment	10	3160	436	316.000000
antenna_vertex_block	24	3072	128	128.000000
antenna	4	640	180	160.000000
projectile_material_response_block	257	22616	112	88.000000
projectile	64	26880	604	420.000000
device_machine	7	2156	432	308.000000
damage_effect_player_response_block	158	12008	88	76.000000
damage_effect	149	29800	212	200.000000
sound_references_block	6600	105600	24	16.000000
dialogue	20	480	36	24.000000
garbage	1	468	580	468.000000
cloth_vertices_block	16	320	20	20.000000
cloth_indices_block	83	168	2	2.024096
cloth_links_block	54	864	16	16.000000
cloth	1	108	132	108.000000
classification	574	13776	44	24.000000
vertex_shader	107	3852	48	36.000000
aspect	17	476	36	28.000000
light_volume_runtime_offset_block	554	4432	8	8.000000
volume	34	5168	188	152.000000
light_volume	30	480	20	16.000000
core	2	112	76	56.000000
arc	1	236	276	236.000000
liquid	2	224	116	112.000000
reflection	92	4416	48	48.000000
lens_flare_scalar_animation_block	12	96	12	8.000000
lens_flare_color_animation_block	10	80	12	8.000000
lens_flare	76	7600	124	100.000000
convolution	1	92	92	92.000000
pass reference	2	344	192	172.000000
screen_effect	1	144	156	144.000000
cs_script_data_block	1	128	132	128.000000
cs_point_set_block	44	2112	52	48.000000
cs_point_block	223	13380	60	60.000000
