sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                        objects\vehicles\cov_guntower\bitmaps\cov_guntower_base_dead        248          0          0         36      67563          0          0          0          0          0      67811
                                                                    incompetent\bitmaps\grey_generic        248          0          0         36          0          0          0          0         24          0        272
                                                               incompetent\bitmaps\grey_generic_bump        248          0          0         36          0          0          0          0       6052          0       6300
                                    objects\cinematics\human\inamberclad\bitmaps\inamberclad_numbers        248          0          0         36      11263          0          0          0          0          0      11511
                                               scenarios\bitmaps\detail_maps\metal\metal_plate_dusty        248          0          0         36          0          0          0          0     137465          0     137713
                                   objects\cinematics\human\inamberclad\bitmaps\inamberclad_aft_bump        248          0          0         36     207231          0          0          0          0          0     207479
                                        objects\cinematics\human\inamberclad\bitmaps\inamberclad_aft        248          0          0         36     290697          0          0          0          0          0     290945
                                                objects\bitmaps\reflection_maps\prt_diffuse_specular        248          0          0         36       3209          0          0          0          0          0       3457
                               objects\cinematics\human\inamberclad\bitmaps\inamberclad_details_bump        248          0          0         36     258180          0          0          0          0          0     258428
                                    objects\cinematics\human\inamberclad\bitmaps\inamberclad_details        248          0          0         36     311937          0          0          0          0          0     312185
                              objects\cinematics\human\inamberclad\bitmaps\inamberclad_details_illum        248          0          0         36       1831          0          0          0          0          0       2079
                                  objects\cinematics\human\inamberclad\bitmaps\inamberclad_fore_bump        248          0          0         36      12512          0          0          0          0          0      12760
                                       objects\cinematics\human\inamberclad\bitmaps\inamberclad_fore        248          0          0         36      72405          0          0          0          0          0      72653
                                                              effects\bitmaps\lens_flares\iac_engine        248          0          0         36       9897          0          0          0          0          0      10145
                                      scenarios\objects\covenant\military\scarab\bitmaps\scarab_legs        248          0          0         36      86170          0          0          0          0          0      86418
                                 scenarios\objects\covenant\military\scarab\bitmaps\scarab_legs_bump        248          0          0         36     367693          0          0          0          0          0     367941
                                             scenarios\bitmaps\reflection_maps\meat_grinder_specular        248          0          0         36      52828          0          0          0          0          0      53076
                                                   scenarios\bitmaps\detail_maps\metal\metal_crackle        248          0          0         36          0          0          0          0      36641          0      36889
                                  scenarios\objects\covenant\military\scarab\bitmaps\scarab_hull_ext        248          0          0         36      84278          0          0          0          0          0      84526
                             scenarios\objects\covenant\military\scarab\bitmaps\scarab_hull_ext_bump        248          0          0         36     362561          0          0          0          0          0     362809
                                             scenarios\bitmaps\detail_maps\metal\metal_curvedscratch        248          0          0         36          0          0          0          0      39664          0      39912
                                  scenarios\objects\covenant\military\scarab\bitmaps\scarab_hull_int        248          0          0         36     253724          0          0          0          0          0     253972
                             scenarios\objects\covenant\military\scarab\bitmaps\scarab_hull_int_bump        248          0          0         36     301811          0          0          0          0          0     302059
