sound_effect_template                                                                                    count  elements      size   padding
                                                                           ragdoll_constraints_block         2        10      1420        60
                                                                            rigid_body_indices_block       114       133       488         0
                                                                     limited_hinge_constraints_block         4        10      1260        60
                                                                                     polyhedra_block        77       137     38908       548
                                                                       polyhedron_four_vectors_block        26       218     10464         0
                                                                    polyhedron_plane_equations_block        77      2009     32144         0
                                                                                         lists_block        11        16      1408       256
                                                                                       spheres_block         2         2       320         0
                                                                                 phantom_types_block         1         1        58        46
                                                                   ball_and_socket_constraints_block         1         1       114         6
                                                                                   list_shapes_block         2        27       324       108
                                                                                         mopps_block         2         2        80         0
                                                                                     mopp_codes_data         2         2       456         0
                                                                                             totals:       932      3403    142930      5318

particle_physics                                                                                         count  elements      size   padding
                                                                      particle_controller_parameters        73       213      4260         0
                                                                                 particle_controller        61        79       790       790
                                                                                    particle_physics        63        63      1260         0
                                                                                          byte_block        84      2928      2928         0
                                                                                             totals:       281      3283      9238       790

point_physics                                                                                            count  elements      size   padding
                                                                                       point_physics         6         6       144       240
                                                                                             totals:         6         6       144       240

projectile                                                                                               count  elements      size   padding
                                                                             object_attachment_block        29        66      1452       132
                                                                  projectile_material_response_block        25       155     13330       310
                                                                                          projectile        35        35     14140       560
                                                                            predicted_resource_block         4        25       200         0
                                                                                 object_widget_block         2         2        16         0
                                                                        object_change_color_function         1         1        36         4
                                                                                object_change_colors         1         1        16         0
                                                                               object_function_block         1         1        32         0
                                                                                             totals:        98       286     29222      1006

particle                                                                                                 count  elements      size   padding
                                                                                           parameter       120       133      5054       266
                                                                                          byte_block       264     21784     21784         0
                                                                 shader_postprocess_bitmap_new_block       120       120      1440         0
                                                                                 real_vector4d_block         2         4        64         0
                                                                               tag_block_index_block         1         1         4         0
                                                         shader_postprocess_implementation_new_block         1         2        20         0
                                                            shader_postprocess_bitmap_property_block         1         5        20         0
                                                             shader_postprocess_definition_new_block       159       477     59148         0
                                                                                            particle       191       191     27886      8022
                                                        shader_postprocess_level_of_detail_new_block         1         1         8         0
                                                                                       pixel32_block         2         2         8         0
                                                            particle_system_emitter_definition_block         2         2       352        16
                                                                particle_system_definition_block_new         2         3       168         0
                                                                                             totals:       866     22725    115956      8304

scenario_structure_bsp                                                                                   count  elements      size   padding
                                                                 structure_collision_materials_block         1         1        18         2
                                                                                   bsp3d_nodes_block         1         6        48         0
                                                                                        planes_block         1         6        96         0
                                                                                        leaves_block         1         1         4         0
                                                                              bsp2d_references_block         1         6        24         0
                                                                                      surfaces_block         1         6        48         0
                                                                                         edges_block         1        12       144         0
                                                                                      vertices_block         1         8       112        16
                                                                          global_collision_bsp_block         1         1        64         0
                                                                            structure_bsp_leaf_block         1         1         8         0
                                                               structure_bsp_surface_reference_block         1        12        96         0
                                                               structure_bsp_cluster_data_definition         1         1         8         0
                                                              structure_bsp_detail_object_data_block         1         1        32         4
                                                                                     block resources         1         9       117        27
                                                                            predicted_resource_block         1        55       440         0
                                                                         structure_bsp_cluster_block         1         1       158        18
                                                                                            material         1         1        25         7
                                                               structure_bsp_sky_owner_cluster_block         1        32        64         0
                                                    structure_sound_cluster_interior_cluster_indices         2         2         8         0
                                                                   structure_bsp_sound_cluster_block         2         2        32         8
                                                              structure_bsp_cluster_debug_info_block         1         1        44        28
                                                                      structure_bsp_debug_info_block         1         1        24        64
                                                                                      mopp_code_data         1         1       164         0
                                                               structure_portal_device_mapping_block         1         1        16         0
                                                                      structure_bsp_audibility_block         1         1        52         0
                                                                structure_bsp_fake_lightprobes_block         1         2       180         4
                                                                     decorator_cell_collection_block         1         1        24         0
                                                                decorator_placement_definition_block         1         1        48         0
                                                                              scenario_structure_bsp         1         1       440       132
                                                                                             totals:        31       174      2538       310

scenery                                                                                                  count  elements      size   padding
                                                                            predicted_resource_block        10        77       616         0
                                                                                             scenery        15        15      2775       165
                                                                             object_attachment_block        11        16       352        32
                                                                                             totals:        36       108      3743       197

scenario                                                                                                 count  elements      size   padding
                                                                         scenario_object_names_block         1         1        36         0
                                                                              scenario_scenery_block         1        16      1424        48
                                                                      scenario_scenery_palette_block         1        14       112       448
                                                                                scenario_biped_block         1         2       166         2
                                                                        scenario_biped_palette_block         1         2        16        64
                                                                              scenario_vehicle_block         1        10       830        10
                                                                      scenario_vehicle_palette_block         1        10        80       320
                                                                            scenario_equipment_block         1        12       660        12
                                                                    scenario_equipment_palette_block         1        12        96       384
                                                                               scenario_weapon_block         1        20      1660        20
                                                                       scenario_weapon_palette_block         1        21       168       672
                                                                        scenario_sound_scenery_block         1         9       711         9
                                                                scenario_sound_scenery_palette_block         1         9        72       288
                                                                              scenario_players_block         1         1        46         6
                                                                        scenario_decal_palette_block         1         1         8         0
                                                                           hs_string_data_definition         1         1      1024         0
                                                                                cs_script_data_block         1         1         8       120
                                                              scenario_structure_bsp_reference_block         1         1        32        36
                                                                                  syntax_datum_block         1       512     10240         0
                                                            scenario_cluster_background_sounds_block         1         1         2         2
                                                                       scenario_cluster_points_block         1         1        12         0
                                                                         scenario_cluster_data_block         1         1        52         0
                                                                           scenario_spawn_data_block         1         1        36        60
                                                                                scenario_crate_block         1        26      1950        26
                                                                        scenario_crate_palette_block         1        26       208       832
                                                          scenario_decorator_set_palette_entry_block         1         7        56         0
                                            scenario_structure_bsp_spherical_harmonic_lighting_block         1         1        16         0
                                                                           scenario_level_data_block         1         1        24         0
                                                                 simulation definition table element         1       451      1804         0
                                                                                            scenario         1         1       984         8
                                                                                             totals:        30      1172     22533      3367

sound_effect_collection                                                                                  count  elements      size   padding
                                                                         platform_sound_filter_block         5         5       360         0
                                                                         sound_effect_playback_block        14        14       560         0
                                                                        sound_effect_component_block         9         9       144         0
                                                                                          byte_block         1       116       116         0
                                                                platform_sound_effect_function_block         1         1        16         0
                                                                platform_sound_effect_constant_block         4        24        96         0
                                                     platform_sound_effect_override_descriptor_block         3        18        20         0
                                                                         platform_sound_effect_block         7         7       196         0
                                                              platform_sound_effect_collection_block         8         8       160         0
