sound_effect_template                                                                                       tag     string    padding  tag splat     bitmap      sound   vertices   geometry     shared  duplicate      total
                                                objects\characters\elite\bitmaps\council_helmet_bump        248          0          0         36          0          0          0          0      35834          0      36082
                                objects\characters\elite\elite_honor_guard\bitmaps\elite_honor_armor        248          0          0         36          0          0          0          0      70428          0      70676
                           objects\characters\elite\elite_honor_guard\bitmaps\elite_honor_armor_bump        248          0          0         36          0          0          0          0     103618          0     103866
                          objects\characters\elite\elite_honor_guard\bitmaps\elite_honor_armor_illum        248          0          0         36          0          0          0          0      12712          0      12960
                         objects\characters\elite\elite_honor_guard\bitmaps\elite_honor_armor_detail        248          0          0         36          0          0          0          0       1556          0       1804
                                                        objects\bitmaps\reflection_maps\human_optics        248          0          0         36          0          0          0          0       8316          0       8564
                                                         objects\characters\elite\bitmaps\teeth_bump        248          0          0         36          0          0          0          0       2360          0       2608
                                                              objects\characters\elite\bitmaps\teeth        248          0          0         36          0          0          0          0       2123          0       2371
                                                         effects\bitmaps\energy\c_electric_discharge        396         28         40         40          0          0          0          0       1614          0       2078
                                                             effects\bitmaps\energy\sparks_c_energy2        370         28         34         40          0          0          0          0        874          0       1306
                                                       effects\bitmaps\energy\elite_shield_depletion        370         28         34         40          0          0          0          0       1083          0       1515
                                                                 effects\bitmaps\energy\spark_c_flak        396         28         40         40          0          0          0          0       5345          0       5809
                                               effects\decals\blood_splats\bitmaps\blood_splat_elite        528        112         88         52          0          0          0          0       5465          0       6193
                                                   objects\characters\marine\bitmaps\head_smith_bump        248          0          0         36      39828          0          0          0          0          0      40076
                                                        objects\characters\marine\bitmaps\head_smith        248          0          0         36      20030          0          0          0          0          0      20278
                                                              objects\bitmaps\detail_maps\skin_human        248          0          0         36          0          0          0          0      82108          0      82356
                                                   objects\characters\marine\bitmaps\helmet_standard        248          0          0         36      17381          0          0          0          0          0      17629
                                              objects\characters\marine\bitmaps\helmet_standard_bump        248          0          0         36      22054          0          0          0          0          0      22302
                                                   objects\characters\marine\bitmaps\marine_standard        248          0          0         36     321963          0          0          0          0          0     322211
                                              objects\characters\marine\bitmaps\marine_standard_bump        248          0          0         36     642184          0          0          0          0          0     642432
                                                                  objects\bitmaps\detail_maps\fabric        248          0          0         36      20732          0          0          0          0          0      20980
                                                        objects\characters\marine\bitmaps\head_banks        248          0          0         36      14628          0          0          0          0          0      14876
                                                         objects\characters\marine\bitmaps\head_dion        248          0          0         36      20117          0          0          0          0          0      20365
                                                    objects\characters\marine\bitmaps\head_dion_bump        248          0          0         36      37878          0          0          0          0          0      38126
                                                             objects\characters\marine\bitmaps\packs        248          0          0         36      32403          0          0          0          0          0      32651
                                                        objects\characters\marine\bitmaps\packs_bump        248          0          0         36      56599          0          0          0          0          0      56847
                                                                   objects\bitmaps\detail_maps\vinyl        248          0          0         36          0          0          0          0      20681          0      20929
                                                       objects\characters\marine\bitmaps\marine_odst        248          0          0         36      34583          0          0          0          0          0      34831
                                                  objects\characters\marine\bitmaps\marine_odst_bump        248          0          0         36     557869          0          0          0          0          0     558117
                                                           objects\bitmaps\reflection_maps\dark_gray        248          0          0         36          0          0          0          0      15379          0      15627
                                                      objects\characters\marine\bitmaps\head_wounded        248          0          0         36      20982          0          0          0          0          0      21230
                                                 objects\characters\marine\bitmaps\head_wounded_bump        248          0          0         36      37640          0          0          0          0          0      37888
                                                    objects\characters\marine\bitmaps\marine_wounded        248          0          0         36     327943          0          0          0          0          0     328191
                                               objects\characters\marine\bitmaps\marine_wounded_bump        248          0          0         36     633609          0          0          0          0          0     633857
                                                       objects\characters\marine\bitmaps\head_morgan        248          0          0         36      14833          0          0          0          0          0      15081
                                                  objects\characters\marine\bitmaps\head_morgan_bump        248          0          0         36      38340          0          0          0          0          0      38588
                                                        objects\characters\marine\bitmaps\head_perez        248          0          0         36      14811          0          0          0          0          0      15059
                                                   objects\characters\marine\bitmaps\head_perez_bump        248          0          0         36      37985          0          0          0          0          0      38233
                                                       objects\characters\marine\bitmaps\head_walter        248          0          0         36      18279          0          0          0          0          0      18527
                                                  objects\characters\marine\bitmaps\head_walter_bump        248          0          0         36      38744          0          0          0          0          0      38992
                                                 objects\characters\lord_hood\bitmaps\lord_hood_main        248          0          0         36     250772          0          0          0          0          0     251020
                                            objects\characters\lord_hood\bitmaps\lord_hood_main_bump        248          0          0         36     442386          0          0          0          0          0     442634
                                                 objects\characters\lord_hood\bitmaps\dress_white_cc        248          0          0         36       3031          0          0          0          0          0       3279
                                              objects\characters\lord_hood\bitmaps\lord_hood_badging        248          0          0         36      73453          0          0          0          0          0      73701
                                         objects\characters\lord_hood\bitmaps\lord_hood_badging_bump        248          0          0         36     133150          0          0          0          0          0     133398
                                                         objects\characters\marine\bitmaps\eyes_blue        248          0          0         36       3529          0          0          0          0          0       3777
                                            objects\bitmaps\reflection_maps\glassy_sharp_reflections        248          0          0         36          0          0          0          0       5997          0       6245
                                                        objects\characters\marine\bitmaps\eyes_brown        248          0          0         36       3514          0          0          0          0          0       3762
                                                             objects\characters\marine\bitmaps\teeth        248          0          0         36       2562          0          0          0          0          0       2810
                                                        objects\characters\marine\bitmaps\teeth_bump        248          0          0         36       6306          0          0          0          0          0       6554
                                                      objects\characters\marine\bitmaps\helmet_pilot        248          0          0         36      11910          0          0          0          0          0      12158
                                                 objects\characters\marine\bitmaps\helmet_pilot_bump        248          0          0         36      19202          0          0          0          0          0      19450
                                                               objects\characters\marine\bitmaps\hat        248          0          0         36       7445          0          0          0          0          0       7693
