sound_effect_template                                                                                    count  elements      size   padding
                                                                         structure_bsp_cluster_block         1         1       158        18
                                                                                            material         1         1        25         7
                                                               structure_bsp_sky_owner_cluster_block         1        32        64         0
                                                    structure_sound_cluster_interior_cluster_indices         2         2         8         0
                                                                   structure_bsp_sound_cluster_block         2         2        32         8
                                                              structure_bsp_cluster_debug_info_block         1         1        44        28
                                                                      structure_bsp_debug_info_block         1         1        24        64
                                                                                      mopp_code_data         1         1       164         0
                                                               structure_portal_device_mapping_block         1         1        16         0
                                                                      structure_bsp_audibility_block         1         1        52         0
                                                                     decorator_cell_collection_block         1         1        24         0
                                                                decorator_placement_definition_block         1         1        48         0
                                                                              scenario_structure_bsp         1         1       440       132
                                                                                             totals:        30       142      2118       306

scenery                                                                                                  count  elements      size   padding
                                                                            predicted_resource_block         4        27       216         0
                                                                                             scenery         4         4       740        44
                                                                                             totals:         8        31       956        44

scenario                                                                                                 count  elements      size   padding
                                                                         scenario_object_names_block         1         1        36         0
                                                                              scenario_scenery_block         1         3       267         9
                                                                      scenario_scenery_palette_block         1         3        24        96
                                                                                scenario_biped_block         1        16      1328        16
                                                                        scenario_biped_palette_block         1        16       128       512
                                                                              scenario_vehicle_block         1         8       664         8
                                                                      scenario_vehicle_palette_block         1         8        64       256
                                                                            scenario_equipment_block         1         4       220         4
                                                                    scenario_equipment_palette_block         1         4        32       128
                                                                               scenario_weapon_block         1        15      1245        15
                                                                       scenario_weapon_palette_block         1        19       152       608
                                                                      scenario_machine_palette_block         1         3        24        96
                                                                              scenario_players_block         1         1        46         6
                                                                           hs_string_data_definition         1         1      1024         0
                                                                                cs_script_data_block         1         1         8       120
                                                              scenario_structure_bsp_reference_block         1         1        32        36
                                                                                  syntax_datum_block         1       512     10240         0
                                                            scenario_cluster_background_sounds_block         1         1         2         2
                                                                       scenario_cluster_points_block         1         1        12         0
                                                                         scenario_cluster_data_block         1         1        52         0
                                                                           scenario_spawn_data_block         1         1        36        60
                                                                        scenario_crate_palette_block         1         3        24        96
                                            scenario_structure_bsp_spherical_harmonic_lighting_block         1         1        16         0
                                                                           scenario_level_data_block         1         1        24         0
                                                                 simulation definition table element         1       467      1868         0
                                                                                            scenario         1         1       984         8
                                                                                             totals:        26      1093     18552      2076

sound_effect_collection                                                                                  count  elements      size   padding
                                                                         platform_sound_filter_block         5         5       360         0
                                                                         sound_effect_playback_block        14        14       560         0
                                                                        sound_effect_component_block         9         9       144         0
                                                                                          byte_block         1       116       116         0
                                                                platform_sound_effect_function_block         1         1        16         0
                                                                platform_sound_effect_constant_block         4        24        96         0
                                                     platform_sound_effect_override_descriptor_block         3        18        20         0
                                                                         platform_sound_effect_block         7         7       196         0
                                                              platform_sound_effect_collection_block         8         8       160         0
                                                                      platform_sound_pitch_lfo_block         2         2        96         0
                                                                     platform_sound_filter_lfo_block         1         1        64         0
                                                                       platform_sound_playback_block         1        19       912       152
                                                                             sound_effect_collection         1         1         8         0
                                                                                             totals:        57       225      2748       152

shader                                                                                                   count  elements      size   padding
                                                                                  runtime properties       240       240     19200         0
                                                                 shader_postprocess_bitmap_new_block       346      1695     20340         0
                                                                                       pixel32_block       258      1171      4684         0
                                                                                 real_vector4d_block       254      2214     35424         0
                                                        shader_postprocess_level_of_detail_new_block        28        46       320         0
                                                                               tag_block_index_block        61      1608      3300         0
                                                         shader_postprocess_implementation_new_block        74      1486     14980         0
                                                                                          byte_block       194      8664      8664         0
                                                                shader_postprocess_overlay_new_block       116      1244     24880         0
                                                      shader_postprocess_overlay_reference_new_block        42       709      2836         0
                                                     shader_postprocess_animated_parameter_new_block        29       108       252         0
                                           shader_postprocess_animated_parameter_reference_new_block        60       834      3336         0
                                                            shader_postprocess_bitmap_property_block        24       120       480         0
                                                             shader_postprocess_color_property_block         6        12       144         0
                                                             shader_postprocess_value_property_block         4        24        96         0
                                                             shader_postprocess_definition_new_block       443      1329    164796         0
                                                                            predicted_resource_block       345      2060     16480         0
                                                                                              shader       447       447     37548      3576
                                                                                             totals:      2971     24011    357760      3576

user_interface_list_skin_definition                                                                      count  elements      size   padding
                                                           screen_animation_keyframe_reference_block        47        94      1504       376
                                                                    single_animation_reference_block        23       129      2064         0
                                                                          text_block_reference_block        30        59      2360       236
