block	count	size	element size	actual element size
scenario_machine_palette_block	3	120	48	40.000000
scenario_crate_palette_block	3	120	48	40.000000
particle_system_definition_block_new	1639	91784	68	56.000000
particle_system_emitter_definition_block	1367	251528	228	184.000000
byte_block	185864	185864	1	1.000000
predicted_resource_block	4436	35488	8	8.000000
instantaneous_damage_repsonse_block	281	22480	104	80.000000
damage_seat_info_block	58	1160	20	20.000000
damage_constraint_info_block	2	40	20	20.000000
global_damage_info_block	41	10168	320	248.000000
global_damage_section_block	129	7224	68	56.000000
global_damage_nodes_block	576	9216	16	16.000000
game_engine_general_event_block	80	13440	244	168.000000
game_engine_flavor_event_block	14	2352	244	168.000000
game_engine_slayer_event_block	2	336	244	168.000000
game_engine_ctf_event_block	22	3696	244	168.000000
game_engine_assault_event_block	25	4200	244	168.000000
game_engine_oddball_event_block	3	504	244	168.000000
game_engine_king_event_block	8	1344	244	168.000000
game_engine_juggernaut_event_block	3	504	244	168.000000
game_engine_territories_event_block	11	1848	244	168.000000
platform_sound_effect_collection_block	8	160	28	20.000000
platform_sound_effect_template_collection_block	5	60	16	12.000000
platform_sound_effect_function_block	1	16	20	16.000000
platform_sound_effect_constant_block	24	96	4	4.000000
platform_sound_effect_override_descriptor_block	18	20	1	1.111111
platform_sound_effect_block	7	196	40	28.000000
platform_sound_effect_template_component_block	7	112	16	16.000000
platform_sound_effect_template_block	1	24	28	24.000000
structure_bsp_sound_cluster_block	2	40	28	20.000000
structure_sound_cluster_interior_cluster_indices	2	8	2	4.000000
structure_portal_device_mapping_block	1	16	24	16.000000
player_training_entry_data_block	32	896	28	28.000000
vehicle_phantom_shape_block	26	20384	672	784.000000
anti_gravity_point_definition_block	25	1900	76	76.000000
friction_point_definition_block	20	1520	76	76.000000
runtime properties	240	19200	112	80.000000
shader	447	41124	128	92.000000
shader_template	87	8352	156	96.000000
shader_pass	98	3528	60	36.000000
parameter	132	5280	52	40.000000
decorator_placement_definition_block	1	48	64	48.000000
decorator_cell_collection_block	1	24	24	24.000000
render_state_block	722	3672	5	5.085873
pixel_shader_extern_map_block	17	48	2	2.823529
pixel_shader_index_block	88	88	1	1.000000
shader_postprocess_pixel_shader	924	51744	84	56.000000
tag_block_index_block	1634	3356	2	2.053856
shader_postprocess_level_of_detail_new_block	48	336	6	7.000000
shader_postprocess_bitmap_new_block	1813	21756	12	12.000000
shader_postprocess_implementation_new_block	1486	14980	10	10.080753
shader_postprocess_overlay_new_block	1244	24880	24	20.000000
shader_postprocess_overlay_reference_new_block	709	2836	4	4.000000
shader_postprocess_animated_parameter_new_block	108	252	2	2.333333
shader_postprocess_animated_parameter_reference_new_block	834	3336	4	4.000000
shader_postprocess_bitmap_property_block	125	500	4	4.000000
shader_postprocess_color_property_block	12	144	12	12.000000
shader_postprocess_value_property_block	24	96	4	4.000000
shader_template_postprocess_level_of_detail_new_block	48	516	10	10.750000
shader_template_postprocess_pass_new_block	417	4284	18	10.273381
shader_template_postprocess_implementation_new_block	1230	7484	6	6.084553
shader_template_postprocess_remapping_new_block	5550	22200	4	4.000000
shader_pass_postprocess_implementation_new_block	207	68444	350	330.647339
shader_pass_postprocess_texture_new_block	361	1444	4	4.000000
shader_pass_postprocess_texture_state_block	390	9360	24	24.000000
shader_pass_postprocess_extern_new_block	335	1340	4	4.000000
pixel32_block	1173	4692	4	4.000000
real_vector4d_block	2218	35488	16	16.000000
